drug name,molecular_formula,smiles,,molecular_weight
Grazoprevir,C38H50N6O9S,CC(C)(C)[C@H]1C(=O)N2C[C@@H](C[C@H]2C(=O)N[C@@]3(C[C@H]3C=C)C(=O)NS(=O)(=O)C4CC4)OC5=NC6=C(C=CC(=C6)OC)N=C5CCCCC[C@@H]7C[C@H]7OC(=O)N1,,"Breast Feeding|Lactation|Milk, Human|Antiviral Agents|Protease Inhibitors"
Saquinavir,C38H50N6O5,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@H]([C@H](CC3=CC=CC=C3)NC(=O)[C@H](CC(=O)N)NC(=O)C4=NC5=CC=CC=C5C=C4)O,,Breast Feeding|Lactation|Anti-Infective Agents|Anti-HIV Agents|Antiviral Agents|Anti-Retroviral Agents|HIV Protease Inhibitors
Simeprevir,C38H47N5O7S2,CC1=C(C=CC2=C1N=C(C=C2O[C@@H]3C[C@@H]4[C@@H](C3)C(=O)N(CCCC/C=C\[C@@H]5C[C@]5(NC4=O)C(=O)NS(=O)(=O)C6CC6)C)C7=NC(=CS7)C(C)C)OC,,"Breast Feeding|Lactation|Milk, Human|Antiviral Agents|Protease Inhibitors"
Glecaprevir,C38H46F4N6O9S,CC1(CC1)S(=O)(=O)NC(=O)[C@]2(C[C@H]2C(F)F)NC(=O)[C@@H]3C[C@@H]4CN3C(=O)[C@@H](NC(=O)O[C@@H]5CCC[C@H]5OC/C=C/C(C6=NC7=CC=CC=C7N=C6O4)(F)F)C(C)(C)C,,"Breast Feeding|Lactation|Milk, Human|Antiviral Agents|Protease Inhibitors"
Moxidectin,C37H53NO8,C[C@@H]\1C/C(=C/C[C@@H]2C[C@@H](C[C@@]3(O2)C/C(=N\OC)/[C@@H]([C@H](O3)/C(=C/C(C)C)/C)C)OC(=O)[C@@H]4C=C([C@H]([C@@H]5[C@]4(/C(=C/C=C1)/CO5)O)O)C)/C,,Breast Feeding|Lactation|Anti-Infective Agents|Antiparasitic Agents|Anthelmintics|Antinematodal Agents|Insecticides|Macrolides
Ritonavir,C37H48N6O5S2,CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@@H]([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,,"Breast Feeding|Lactation|Milk, Human|Anti-Infective Agents|Anti-HIV Agents|Antiviral Agents|Anti-Retroviral Agents|HIV Protease Inhibitors"
Lopinavir,C37H48N4O5,CC1=C(C(=CC=C1)C)OCC(=O)N[C@@H](CC2=CC=CC=C2)[C@H](C[C@H](CC3=CC=CC=C3)NC(=O)[C@H](C(C)C)N4CCCNC4=O)O,,"Breast Feeding|Lactation|Milk, Human|Anti-Infective Agents|Anti-HIV Agents|Antiviral Agents|Anti-Retroviral Agents|HIV Protease Inhibitors"
Technetium Tc 99m Sestamibi,C36H66N6O6Tc,CC(C)(C[N+]#[C-])OC.CC(C)(C[N+]#[C-])OC.CC(C)(C[N+]#[C-])OC.CC(C)(C[N+]#[C-])OC.CC(C)(C[N+]#[C-])OC.CC(C)(C[N+]#[C-])OC.[Tc],,Breast Feeding|Lactation|Radiopharmaceuticals|Technetium Compounds|Diagnostic Agents
Telaprevir,C36H53N7O6,CCC[C@@H](C(=O)C(=O)NC1CC1)NC(=O)[C@@H]2[C@H]3CCC[C@H]3CN2C(=O)[C@H](C(C)(C)C)NC(=O)[C@H](C4CCCCC4)NC(=O)C5=NC=CN=C5,,"Breast Feeding|Lactation|Milk, Human|Antiviral Agents"
Indinavir,C36H47N5O4,CC(C)(C)NC(=O)[C@@H]1CN(CCN1C[C@H](C[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H]3[C@@H](CC4=CC=CC=C34)O)O)CC5=CN=CC=C5,,"Breast Feeding|Lactation|Milk, Human|Anti-Infective Agents|Anti-HIV Agents|Antiviral Agents|Anti-Retroviral Agents|HIV Protease Inhibitors"
zavegepant,C36H46N8O3,CC1=CC(=CC2=C1NN=C2)C[C@H](C(=O)N3CCN(CC3)C4CCN(CC4)C)NC(=O)N5CCC(CC5)C6=CC7=CC=CC=C7NC6=O,,"Breast Feeding|Lactation|Milk, Human|Analgesics|Calcitonin Gene-Related Peptide Receptor Antagonists|CGRP-R Inhibitors"
Pancuronium,C35H60N2O4+2,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@@H]([C@]2(C[C@@H]1[N+]4(CCCCC4)C)C)CC[C@]5([C@H]3C[C@@H]([C@@H]5OC(=O)C)[N+]6(CCCCC6)C)C,,Breast Feeding|Lactation|Muscle Relaxants|Neuromuscular Nondepolarizing Agents
gadopiclenol,C35H54GdN7O15,C1CN(CC2=NC(=CC=C2)CN(CCN1C(CCC(=O)NCC(CO)O)C(=O)[O-])C(CCC(=O)NCC(CO)O)C(=O)[O-])C(CCC(=O)NCC(CO)O)C(=O)[O-].[Gd+3],,"Breast Feeding|Lactation|Milk, Human|Contrast Media|Diagnostic Agents"
Iodixanol,C35H44I6N6O15,CC(=O)N(CC(CN(C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I)C(=O)C)O)C2=C(C(=C(C(=C2I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I,,"Breast Feeding|Lactation|Milk, Human|Contrast Media|Diagnostic Agents"
Itraconazole,C35H38Cl2N8O4,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OC[C@H]5CO[C@](O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,,"Breast Feeding|Lactation|Milk, Human|Antifungal Agents"
Montelukast,C35H36ClNO3S,CC(C)(C1=CC=CC=C1CC[C@H](C2=CC=CC(=C2)/C=C/C3=NC4=C(C=CC(=C4)Cl)C=C3)SCC5(CC5)CC(=O)O)O,,Breast Feeding|Lactation|Anti-Asthmatic Agents|Leukotriene Antagonists
Midostaurin,C35H30N4O4,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=CC=C9)OC,,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors
Lanolin,C34H68O2,CCCCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCCCC,,"Breast Feeding|Lactation|Milk, Human|Cosmetics|Pharmaceutic Aids|Waxes"
vecuronium,C34H57N2O4+,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@@H]([C@]2(C[C@@H]1N4CCCCC4)C)CC[C@]5([C@H]3C[C@@H]([C@@H]5OC(=O)C)[N+]6(CCCCC6)C)C,,Breast Feeding|Lactation|Muscle Relaxants|Neuromuscular Nondepolarizing Agents
Piperacillin and Tazobactam,C34H41N9O12S2,CCN1CCN(C(=O)C1=O)C(=O)N[C@@](C)(C2=CC=CC=C2)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O.C[C@@]1([C@@H](N2[C@H](S1(=O)=O)CC2=O)C(=O)O)CN3C=CN=N3,,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Penicillins
Psyllium,C33H66O2,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)O,,Breast Feeding|Lactation|Gastrointestinal Agents|Laxatives
omaveloxolone,C33H44F2N2O3,C[C@@]12CC[C@]3(CCC(C[C@H]3[C@H]1C(=O)C=C4[C@]2(CC[C@@H]5[C@@]4(C=C(C(=O)C5(C)C)C#N)C)C)(C)C)NC(=O)C(C)(F)F,,"Breast Feeding|Lactation|Milk, Human"
Gadofosveset,C33H41GdN3O14P,[H+].[H+].[H+].C1CC(CCC1OP(=O)([O-])OC[C@@H](CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-])(C2=CC=CC=C2)C3=CC=CC=C3.[Gd+3],,"Breast Feeding|Lactation|Milk, Human|Contrast Media|Diagnostic Agents"
Irinotecan,C33H38N4O6,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7,,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Topoisomerase I Inhibitors
dihydroergotamine,C33H37N5O5,C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@@H]5C[C@H]6[C@@H](CC7=CNC8=CC=CC6=C78)N(C5)C,,"Breast Feeding|Lactation|Analgesics, Non-Narcotic|Dopamine Agonists|Vasoconstrictor Agents"
Atovaquone and Proguanil,C33H36Cl3N5O3,CC(C)N=C(N)/N=C(\N)/NC1=CC=C(C=C1)Cl.C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O.Cl,,Breast Feeding|Lactation|Anti-infective Agents|Antiparasitic Agents|Antimalarials|Antiprotozoal Agents
Ergotamine,C33H35N5O5,C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@H]5CN([C@@H]6CC7=CNC8=CC=CC(=C78)C6=C5)C,,"Breast Feeding|Lactation|Adrenergic Alpha-Agonists|Analgesics, Non-Narcotic|Ergot Alkaloids|Vasoconstrictor Agents"
Atorvastatin,C33H35FN2O5,CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,,Breast Feeding|Lactation|Anticholesteremic Agents|Antilipemic Agents|Hydroxymethylglutaryl-CoA Reductase Inhibitors
Telmisartan,C33H30N4O2,CCCC1=NC2=C(N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)O)C=C(C=C2C)C5=NC6=CC=CC=C6N5C,,"Breast Feeding|Lactation|Milk, Human|Antihypertensive Agents|Angiotensin II Type 1 Receptor Blockers|Angiotensin Receptor Blockers|ARBs"
Rocuronium,C32H53N2O4+,CC(=O)O[C@H]1[C@H](C[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(C[C@@H]([C@H](C4)O)N5CCOCC5)C)C)[N+]6(CCCC6)CC=C,,Breast Feeding|Lactation|Muscle Relaxants|Neuromuscular Nondepolarizing Agents
Nelfinavir,C32H45N3O4S,CC1=C(C=CC=C1O)C(=O)N[C@@H](CSC2=CC=CC=C2)[C@@H](CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C)O,,"Breast Feeding|Lactation|Milk, Human|Anti-Infective Agents|Anti-HIV Agents|Antiviral Agents|Anti-Retroviral Agents|HIV Protease Inhibitors"
Ciclesonide,C32H44O7,CC(C)C(=O)OCC(=O)[C@@]12[C@@H](C[C@@H]3[C@@]1(C[C@@H]([C@H]4[C@H]3CCC5=CC(=O)C=C[C@]45C)O)C)O[C@H](O2)C6CCCCC6,,"Breast Feeding|Lactation|Milk, Human|Corticosteroids, Inhaled|Glucocorticoids|Anti-Inflammatory Agents"
Bromocriptine,C32H40BrN5O5,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O,,Breast Feeding|Lactation|Antiparkinson Agents|Dopamine Agonists|Ergot Alkaloids
Fexofenadine,C32H39NO4,CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O,,Breast Feeding|Lactation|Antihistamines|Nonsedating Antihistamines
ebastine,C32H39NO2,CC(C)(C)C1=CC=C(C=C1)C(=O)CCCN2CCC(CC2)OC(C3=CC=CC=C3)C4=CC=CC=C4,,Breast Feeding|Lactation|Antihistamines|Nonsedating Antihistamines
Bedaquiline,C32H31BrN2O2,CN(C)CC[C@@](C1=CC=CC2=CC=CC=C21)([C@H](C3=CC=CC=C3)C4=C(N=C5C=CC(=CC5=C4)Br)OC)O,,"Breast Feeding|Lactation|Milk, Human|Anti-infective Agents|Antitubercular Agents"
Colesevelam,C31H67Cl3N4O,CCCCCCCCCCNCC=C.C[N+](C)(C)CCCCCCNCC=C.C=CCN.C1C(O1)CCl.Cl.[Cl-],,"Breast Feeding|Lactation|Milk, Human|Anticholesteremic Agents|Antilipemic Agents|Hypoglycemic Agents"
Fondaparinux,C31H53N3O49S8,CO[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)COS(=O)(=O)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](O2)C(=O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)COS(=O)(=O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O[C@@H]5[C@@H]([C@H]([C@@H]([C@H](O5)COS(=O)(=O)O)O)O)NS(=O)(=O)O)O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O)NS(=O)(=O)O,,Breast Feeding|Lactation|Anticoagulants
Fusidic Acid,C31H48O6,C[C@H]1[C@@H]2CC[C@]3([C@H]([C@]2(CC[C@H]1O)C)[C@@H](C[C@@H]\4[C@@]3(C[C@@H](/C4=C(/CCC=C(C)C)\C(=O)O)OC(=O)C)C)O)C,,Breast Feeding|Lactation|Antibacterial Agents|Anti-Infective Agents|Protein Synthesis Inhibitors
Vitamin K,C31H46O2,CC1=C(C(=O)C2=CC=CC=C2C1=O)C/C=C(\C)/CCCC(C)CCCC(C)CCCC(C)C,,"Breast Feeding|Lactation|Milk, Human|Vitamins|Antifibrinolytic Agents"
Tipranavir,C31H33F3N2O5S,CCC[C@]1(CC(=C(C(=O)O1)[C@H](CC)C2=CC(=CC=C2)NS(=O)(=O)C3=NC=C(C=C3)C(F)(F)F)O)CCC4=CC=CC=C4,,"Breast Feeding|Lactation|Milk, Human|Anti-Infective Agents|Anti-HIV Agents|Antiviral Agents|Anti-Retroviral Agents|HIV Protease Inhibitors"
polidocanol,C30H62O10,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,,"Breast Feeding|Lactation|Milk, Human|Detergents|Sclerosing Solutions|Sclerotherapies|Surface-Active Agents"
Technetium Tc 99m Gluconate,C30H55O35Tc,C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.[99Tc+5],,Breast Feeding|Lactation|Radiopharmaceuticals|Technetium Compounds|Diagnostic Agents
Calendula,C30H50O2,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)C)O)C)C,,"Breast Feeding|Lactation|Complementary Therapies|Phytotherapy|Plants, Medicinal"
Retapamulin,C30H47NO4S,C[C@@H]1CC[C@@]23CCC(=O)[C@H]2[C@@]1([C@@H](C[C@@]([C@H]([C@@H]3C)O)(C)C=C)OC(=O)CSC4C[C@H]5CC[C@@H](C4)N5C)C,,"Breast Feeding|Lactation|Milk, Human|Anti-Infective Agents, Local|Anti-Bacterial Agents"
cefiderocol,C30H34ClN7O10S2,CC(C)(C(=O)O)O/N=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[N+]4(CCCC4)CCNC(=O)C5=C(C(=C(C=C5)O)O)Cl)C(=O)[O-],,Breast Feeding|Lactation|Anti-Bacterial Agents|Anti-Infective Agents|Cephalosporins
Diphenoxylate,C30H32N2O2,CCOC(=O)C1(CCN(CC1)CCC(C#N)(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,,Breast Feeding|Lactation|Antidiarrheals|Gastrointestinal Agents|Narcotics
sotorasib,C30H30F2N6O3,C[C@H]1CN(CCN1C2=NC(=O)N(C3=NC(=C(C=C32)F)C4=C(C=CC=C4F)O)C5=C(C=CN=C5C(C)C)C)C(=O)C=C,,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors
berotralstat,C30H26F4N6O,C1CC1CN[C@@H](C2=CC(=C(C=C2)F)NC(=O)C3=CC(=NN3C4=CC=CC(=C4)CN)C(F)(F)F)C5=CC=CC(=C5)C#N,,"Breast Feeding|Lactation|Milk, Human|Serine Proteinase Inhibitors"
ecallantide,C305H442N88O91S8,CC[C@H](C)[C@H]1C(=O)N[C@H](C(=O)NCC(=O)NCC(=O)N[C@H]2CSSC[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N4CCC[C@H]4C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N5CCC[C@H]5C(=O)N3)CC(=O)O)CC(=O)O)C)CCCCN)CC6=CC=CC=C6)C)NC(=O)[C@H](CC7=CC=CC=C7)NC(=O)[C@H](CO)NC(=O)[C@H](CC8=CN=CN8)NC(=O)[C@H](CCSC)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)N)C(=O)N[C@@H]([C@H](C)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(=O)O)C(=O)O)CCSC)CCCCN)CCCCN)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC2=O)CCC(=O)O)CC(=O)N)CCC(=O)N)CC(=O)N)CCCNC(=N)N)CC9=CC=CC=C9)CCC(=O)O)CO)CC(C)C)CCC(=O)O)CCC(=O)O)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CC1=CC=CC=C1)CCC(=O)O)CCC(=O)O)CCC(=O)N)CCCNC(=N)N)[C@H](C)O)CC1=CC=CC=C1)[C@@H](C)CC)CC(=O)N)CC1=CC=CC=C1)CC1=CC=CC=C1)CC1=CNC2=CC=CC=C21)CCCNC(=N)N)CC1=CN=CN1)C)C)CCCNC(=N)N)CC1=CC=C(C=C1)O,,"Breast Feeding|Lactation|Analgesics|Anti-Inflammatory Agents, Non-Steroidal|Kallikreins"
Trichloroacetic Acid,C2HCl3O2,C(=O)(C(Cl)(Cl)Cl)O,,Breast Feeding|Lactation|Dermatologic Agents|Keratolytic Agents
Halothane,C2HBrClF3,C(C(F)(F)F)(Cl)Br,,"Breast Feeding|Lactation|Anesthetics, Inhalation"
dimethylsulfone,C2H6O2S,CS(=O)(=O)C,,Breast Feeding|Lactation|Anti-Inflammatory Agents
Alcohol,C2H6O,CCO,,Breast Feeding|Lactation|Central Nervous System Depressants
mesna,C2H5NaO3S2,C(CS(=O)(=O)[O-])S.[Na+],,"Breast Feeding|Lactation|Milk, Human|Protective Agents"
Glycolic Acid,C2H4O3,C(C(=O)O)O,,Breast Feeding|Lactation|Dermatologic Agents|Keratolytic Agents
Chloral Hydrate,C2H3Cl3O2,C(C(Cl)(Cl)Cl)(O)O,,"Breast Feeding|Lactation|Milk, Human|Hypnotics and Sedatives"
Orlistat,C29H53NO5,CCCCCCCCCCC[C@@H](C[C@H]1[C@@H](C(=O)O1)CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,,Breast Feeding|Lactation|Enzyme Inhibitors|Anti-Obesity Agents
Vitamin E,C29H50O2,CC1=C(C2=C(CC[C@@](O2)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=C1O)C)C,,Breast Feeding|Lactation|Vitamins|Antioxidants
Buprenorphine,C29H41NO4,C[C@]([C@H]1C[C@@]23CC[C@@]1([C@H]4[C@@]25CCN([C@@H]3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)(C(C)(C)C)O,,"Breast Feeding|Lactation|Milk, Human|Analgesics, Opioid|Narcotics|Narcotic Antagonists"
Maraviroc,C29H41F2N5O,CC1=NN=C(N1C2C[C@H]3CC[C@@H](C2)N3CC[C@@H](C4=CC=CC=C4)NC(=O)C5CCC(CC5)(F)F)C(C)C,,"Breast Feeding|Lactation|Milk, Human|Anti-Infective Agents|Anti-HIV Agents|Antiviral Agents|Anti-Retroviral Agents|HIV Fusion Inhibitors"
Omadacycline,C29H40N4O7,CC(C)(C)CNCC1=CC(=C2C[C@H]3C[C@H]4[C@@H](C(=O)C(=C([C@]4(C(=O)C3=C(C2=C1O)O)O)O)C(=O)N)N(C)C)N(C)C,,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Tetracyclines
Tigecycline,C29H39N5O8,CC(C)(C)NCC(=O)NC1=CC(=C2C[C@H]3C[C@H]4[C@@H](C(=O)C(=C([C@]4(C(=O)C3=C(C2=C1O)O)O)O)C(=O)N)N(C)C)N(C)C,,Breastfeeding|Lactation|Anti-infective Agents|Antibacterial Agents|Tetracyclines
Procaine Penicillin G,C29H38N4O6S,CCN(CC)CCOC(=O)C1=CC=C(C=C1)N.CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Penicillins
Mifepristone,C29H35NO2,CC#C[C@@]1(CC[C@@H]2[C@@]1(C[C@@H](C3=C4CCC(=O)C=C4CC[C@@H]23)C5=CC=C(C=C5)N(C)C)C)O,,"Breast Feeding|Lactation|Milk, Human|Contraceptives, Oral, Synthetic|Contraceptives, Postcoital, Synthetic|Hormone Antagonists|Luteolytic Agents|Menstruation-Inducing Agents|Abortifacient Agents, Steroidal"
Siponimod,C29H35F3N2O3,CCC1=C(C=CC(=C1)/C(=N/OCC2=CC(=C(C=C2)C3CCCCC3)C(F)(F)F)/C)CN4CC(C4)C(=O)O,,Breast Feeding|Lactation|Immunosuppressive Agents|Sphingosine 1 Phosphate Receptor Modulators
avatrombopag,C29H34Cl2N6O3S2,C1CCC(CC1)N2CCN(CC2)C3=C(N=C(S3)NC(=O)C4=CC(=C(N=C4)N5CCC(CC5)C(=O)O)Cl)C6=CC(=CS6)Cl,,"Breast Feeding|Lactation|Receptors, Thrombopoietin"
trifarotene,C29H33NO4,CC(C)(C)C1=C(C=CC(=C1)C2=C(C=CC(=C2)C3=CC=C(C=C3)C(=O)O)OCCO)N4CCCC4,,Breast Feeding|Lactation|Dermatologic Agents|Retinoids
Ceftazidime and Avibactam,C29H33N9O13S3,CC(C)(C(=O)O)O/N=C(\C1=CSC(=N1)N)/C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-].C1C[C@H](N2C[C@@H]1N(C2=O)OS(=O)(=O)O)C(=O)N,,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Cephalosporins
Loperamide,C29H33ClN2O2,CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4,,Breast Feeding|Lactation|Antidiarrheals|Gastrointestinal Agents
Etoposide,C29H32O13,C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,,Breast Feeding|Lactation|Antineoplastic Agents
lusutrombopag,C29H32Cl2N2O5S,CCCCCCO[C@@H](C)C1=CC=CC(=C1OC)C2=CSC(=N2)NC(=O)C3=CC(=C(C(=C3)Cl)/C=C(\C)/C(=O)O)Cl,,"Breast Feeding|Lactation|Receptors, Thrombopoietin"
selpercatinib,C29H31N7O3,CC(C)(COC1=CN2C(=C(C=N2)C#N)C(=C1)C3=CN=C(C=C3)N4CC5CC(C4)N5CC6=CN=C(C=C6)OC)O,,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors|Tyrosine Kinase Inhibitors
Imatinib,C29H31N7O,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors|Tyrosine Kinase Inhibitors
tepotinib,C29H28N6O2,CN1CCC(CC1)COC2=CN=C(N=C2)C3=CC=CC(=C3)CN4C(=O)C=CC(=N4)C5=CC=CC(=C5)C#N,,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Tyrosine Kinase Inhibitors
Ponatinib,C29H27F3N6O,CC1=C(C=C(C=C1)C(=O)NC2=CC(=C(C=C2)CN3CCN(CC3)C)C(F)(F)F)C#CC4=CN=C5N4N=CC=C5,,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors|Tyrosine Kinase Inhibitors
ubrogepant,C29H26F3N5O3,C[C@@H]1[C@@H](C[C@@H](C(=O)N1CC(F)(F)F)NC(=O)C2=CC3=C(C[C@@]4(C3)C5=C(NC4=O)N=CC=C5)N=C2)C6=CC=CC=C6,,Breast Feeding|Lactation|Analgesics|Calcitonin Gene Related Peptide Receptor Antagonists|CGRP-R Inhibitors
atogepant,C29H23F6N5O3,C[C@@H]1[C@@H](C[C@@H](C(=O)N1CC(F)(F)F)NC(=O)C2=CC3=C(C[C@@]4(C3)C5=C(NC4=O)N=CC=C5)N=C2)C6=C(C=CC(=C6F)F)F,,"Breast Feeding|Lactation|Milk, Human|Analgesics|Calcitonin Gene Related Peptide Receptor Antagonists|CGRP-R Inhibitors"
lefamulin,C28H45NO5S,C[C@@H]1CC[C@@]23CCC(=O)[C@H]2[C@@]1([C@@H](C[C@@]([C@H]([C@@H]3C)O)(C)C=C)OC(=O)CS[C@@H]4CC[C@H](C[C@H]4O)N)C,,Breast Feeding|Lactation|Anti-Bacterial Agents|Anti-Infective Agents
Imipenem and Cilastatin,C28H43N5O9S2,C[C@H]([C@@H]1[C@H]2CC(=C(N2C1=O)C(=O)O)SCCN=CN)O.CC1(C[C@@H]1C(=O)N/C(=C\CCCCSC[C@@H](C(=O)O)N)/C(=O)O)C,,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Carbapenems
Lurasidone,C28H36N4O2S,C1CC[C@H]([C@@H](C1)CN2CCN(CC2)C3=NSC4=CC=CC=C43)CN5C(=O)[C@H]6[C@@H]7CC[C@@H](C7)[C@H]6C5=O,,"Breast Feeding|Lactation|Milk, Human|Antipsychotic Agents"
Ulipristal,C28H35NO3,CC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H](C3=C4CCC(=O)C=C4CC[C@@H]23)C5=CC=C(C=C5)N(C)C)C)O,,"Breast Feeding|Lactation|Milk, Human|Contraceptive Agents|Contraceptives, Postcoital|Contraceptive Agents, Female"
