drug name,drug class
Lenvatinib,"Breast Feeding|Lactation|Milk, Human|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors|Tyrosine Kinase Inhibitors"
Ruxolitinib,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors|Janus Kinase Inhibitors|JAK Inhibitors
Vismodegib,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors
Linaclotide,"Breast Feeding|Lactation|Milk, Human|Gastrointestinal Agents|Peptides|Guanylate Cyclase C Agonists|Laxatives"
Irinotecan,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Topoisomerase I Inhibitors
Ezogabine,Breast Feeding|Lactation|Anticonvulsants
Brivaracetam,Breast Feeding|Lactation|Anticonvulsants
Phototherapy,Breast Feeding|Lactation|Laser Therapy|Low-Level Light Therapy|PUVA Therapy
Chlordiazepoxide,"Breast Feeding|Lactation|Milk, Human|Hypnotics and Sedatives|Anti-Anxiety Agents|Benzodiazepines"
Bezlotoxumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal"
Capecitabine,"Breast Feeding|Lactation|Antimetabolites|Antimetabolites, Antineoplastic|Antineoplastic Agents"
Olaparib,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Signal Transduction Inhibitors|PARP inhibitors
Temozolamide,"Breast Feeding|Lactation|Antineoplastic Agents|Antineoplastic Agents, Alkylating"
Dexmedetomidine,"Breast Feeding|Lactation|Milk, Human|Hypnotics and Sedatives|Anesthetics, Intravenous|Adrenergic alpha-2 Receptor Agonists|Analgesics"
Amoxicillin,Breast Feeding|Lactation|Anti-infective Agents|Antibacterial Agents|Penicillins
Haemophilus Vaccines,Breast Feeding|Lactation|Vaccines
Hollyhock,"Breast Feeding|Lactation|Complementary Therapies|Phytotherapy|Plants, Medicinal"
Coagulation Factor X,Breast Feeding|Lactation|Blood Coagulation Factors|Coagulants
Fusidic Acid,Breast Feeding|Lactation|Antibacterial Agents|Anti-Infective Agents|Protein Synthesis Inhibitors
Teicoplanin,Breast Feeding|Lactation|Antibacterial Agents|Anti-Infective Agents|Glycopeptides
Magnesium Aspartate,Breast Feeding|Lactation|Magnesium Compounds
Olaratumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal"
Ferric Derisomaltose,"Breast Feeding|Lactation|Milk, Human|Ferric Compounds|Hematinics|Iron Compounds"
Brodalumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal|Dermatologic Agents"
Halobetasol,"Breast Feeding|Lactation|Corticosteroids, Topical|Glucocorticoids|Anti-Inflammatory Agents"
Docetaxel,"Breast Feeding|Lactation|Milk, Human|Antineoplastic Agents|Antimitotic Agents|Tubulin Modulators"
Piritramide,"Breast Feeding|Lactation|Milk, Human|Analgesics, Opioid|Narcotics"
Ocrelizumab,"Breast Feeding|Lactation|Milk, Human|Biological Response Modifiers|Immunologic Adjuvants|Antibodies, Monoclonal"
Dupilumab,"Breast Feeding|Lactation|Milk, Human|Biological Response Modifiers|Immunologic Adjuvants|Antibodies, Monoclonal"
Avelumab,"Breast Feeding|Lactation|Antineoplastic Agents|Biological Response Modifiers|Immunologic Adjuvants|Immune Checkpoint Inhibitors|Antibodies, Monoclonal"
Rucaparib,"Breast Feeding|Lactation|Milk, Human|Antineoplastic Agents|Enzyme Inhibitors|Signal Transduction Inhibitors|PARP Inhibitors"
Midostaurin,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors
Haloperidol,"Breast Feeding|Lactation|Milk, Human|Antipsychotic Agents|Butyrophenones"
Durvalumab,"Breast Feeding|Lactation|Milk, Human|Antineoplastic Agents|Biological Response Modifiers|Immunologic Adjuvants|Immune Checkpoint Inhibitors|Antibodies, Monoclonal"
Glycolic Acid,Breast Feeding|Lactation|Dermatologic Agents|Keratolytic Agents
Trichloroacetic Acid,Breast Feeding|Lactation|Dermatologic Agents|Keratolytic Agents
Vitamin D,"Breast Feeding|Lactation|Milk, Human|Vitamins"
Sarilumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal|Antirheumatic Agents"
Guselkumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal|Dermatologic Agents"
Voxilaprevir,"Breast Feeding|Lactation|Milk, Human|Antiviral Agents|NS3/4A Inhibitors"
Heparin,Breast Feeding|Lactation|Anticoagulants
Vitamin K,"Breast Feeding|Lactation|Milk, Human|Vitamins|Antifibrinolytic Agents"
Delafloxacin,Breast Feeding|Lactation|Fluoroquinolones|Quinolones
Sugammadex,"Breast Feeding|Lactation|Milk, Human|Antidotes|Gamma-Cyclodextrins|Neuromuscular Blockade"
Enasidenib,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Isocitrate Dehydrogenase Inhibitors
Inotuzumab Ozogamicin,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal, Humanized|Antineoplastic Agents"
Intrauterine Levonorgestrel,"Breast Feeding|Lactation|Milk, Human|Contraceptive Agents, Female|Contraceptives, Oral, Synthetic"
Levonorgestrel Implant,"Breast Feeding|Lactation|Milk, Human|Contraceptive Agents, Female"
Carmustine,"Breast Feeding|Lactation|Antineoplastic Agents, Alkylating|Nitrosourea Compounds"
Hepatitis A Vaccine,Breast Feeding|Lactation|Vaccines
Florbetaben F 18,Breast Feeding|Lactation|Radiopharmaceuticals|Fluoride Radioisotopes|Diagnostic Agents
Flavoxate,Breast Feeding|Lactation|Muscarinic Antagonists|Parasympatholytics|Urological Agents
Ferric Citrate,Breast Feeding|Lactation|Chelating Agents|Ferric Compounds|Hematinics|Iron Compounds
Letrozole,Breast Feeding|Lactation|Antineoplastic Agents|Aromatase Inhibitors
Secnidazole,Breast Feeding|Lactation|Anti-Infective Agents|Antiprotozoal Agents|Nitroimidazoles
Tetanus Immune Globulin (Human),"Breast Feeding|Lactation|Milk, Human|Antibodies|Immunoglobulin G|Immunoglobulins"
Hepatitis B Vaccine,Breast Feeding|Lactation|Vaccines
Riluzole,Breast Feeding|Lactation|Excitatory Amino Acid Antagonists|Neuroprotective Agents
Ganciclovir,Breast Feeding|Lactation|Anti-Infective Agents|Antiviral Agents
Valganciclovir,Breast Feeding|Lactation|Anti-Infective Agents|Antiviral Agents
Amiloride,Breast Feeding|Lactation|Diuretics
Vitamin E,Breast Feeding|Lactation|Vitamins|Antioxidants
Benralizumab,"Breast Feeding|Lactation|Milk, Human|Anti-Allergic Agents|Anti-Asthmatic Agents|Antibodies, Monoclonal, Humanized"
Ceftazidime and Avibactam,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Cephalosporins
Hydralazine,Breast Feeding|Lactation|Antihypertensive Agents|Vasodilator Agents
Emicizumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Bispecific|Antibodies, Monoclonal, Humanized"
Vestronidase Alfa,Breast Feeding|Lactation|Enzymes|Glucuronidase
Bendamustine,"Breast Feeding|Lactation|Antineoplastic Agents, Alkylating|Nitrosourea Compounds"
Latanoprostene Bunod,"Breast Feeding|Lactation|Milk, Human|Antiglaucoma Agents|Prostaglandins"
Arsenic Trioxide,Breast Feeding|Lactation|Antineoplastic Agents
Lutetium Lu 177 Dotatate,Breast Feeding|Lactation|Radiopharmaceuticals|Lutetium Radioisotopes
Tildrakizumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal, Humanized|Dermatologic Agents"
Ibalizumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal|Antibodies, Antiviral|Anti-HIV Agents|Antiviral Agents|Anti-Retroviral Agents"
Dexrazoxane,Breast Feeding|Lactation|Antineoplastic Agents|Cardioprotectants|Cardiotonic Agents|Enzyme Inhibitors|Topoisomerase II Inhibitors
Hydrocortisone,"Breast Feeding|Lactation|Milk, Human|Corticosteroids, Systemic|Glucocorticoids|Anti-Inflammatory Agents"
Liraglutide,Breast Feeding|Lactation|Hypoglycemic Agents|Incretins|Glucagon-Like Peptide-1 Agonists|GLP-1 Agonists
Exenatide,"Breast Feeding|Lactation|Milk, Human|Hypoglycemic Agents|Incretins|Glucagon-Like Peptide-1 Agonists|GLP-1 Agonists|Anti-Obesity Agents"
Burosumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal"
Lubiprostone,Breast Feeding|Lactation|Chloride Channel Agonists|Gastrointestinal Agents|Membrane Transport Modulators|Laxatives
Erenumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal"
Pegvaliase,"Breast Feeding|Lactation|Milk, Human|Enzymes|Lyases|Recombinant Proteins|Phenylalanine Ammonia Lyase,"
Vitamin A,"Breast Feeding|Lactation|Milk, Human|Vitamins"
Hydroflumethiazide,Breast Feeding|Lactation|Antihypertensive Agents|Thiazide Diuretics
"Factor Xa (recombinant), Inactivated",Breast Feeding|Lactation|Blood Coagulation Factors|Coagulants
Lumacaftor and Ivacaftor,"Breast Feeding|Lactation|Milk, Human|Chloride Channel Agonists|Cystic Fibrosis Transmembrane Conductance Regulator Protein Modulator|CFTR Protein Modulator"
Plazomicin,Breast Feeding|Lactation|Antibacterial Agents|Anti-Infective Agents|Aminoglycosides
Modafinil,"Breast Feeding|Lactation|Milk, Human|Central Nervous System Stimulants|Wakefulness-Promoting Agents"
Armodafinil,"Breast Feeding|Lactation|Milk, Human|Central Nervous System Stimulants|Wakefulness-Promoting Agents"
Binimetinib,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors
Encorafenib,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors
Plecanatide,Breast Feeding|Lactation|Gastrointestinal Agents|Peptides|Guanylyl Cyclase C Agonists|Laxatives
Netarsudil,Breast Feeding|Lactation|Antiglaucoma Agents|Rho Kinase Inhibitors
Baricitinib,"Breast Feeding|Lactation|Milk, Human|Antirheumatic Agents|Enzyme Inhibitors|Janus Kinase Inhibitors|JAK Inhibitors|Signal Transduction Inhibitors|Protein Kinase Inhibitors"
Ampicillin and Sulbactam,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Penicillins
Hydroxyurea,Breast Feeding|Lactation|Antineoplastic Agents|Antisickling Agents|Enzyme Inhibitors|Nucleic Acid Synthesis Inhibitors
Bictegravir,"Breast Feeding|Lactation|Milk, Human|Antiviral Agents|Anti-HIV Agents|Anti-Retroviral Agents|HIV Integrase Inhibitors"
Pibrentasvir,"Breast Feeding|Lactation|Milk, Human|Antiviral Agents|NS5A Inhibitors"
Glecaprevir,"Breast Feeding|Lactation|Milk, Human|Antiviral Agents|Protease Inhibitors"
Roxithromycin,Breast Feeding|Lactation|Anti-Bacterial Agents|Anti-Infective Agents|Macrolides
Flunarizine,"Breast Feeding|Lactation|Milk, Human|Calcium Channel Blockers|Histamine H1 Antagonists|Vasodilator Agents"
Cinnarizine,"Breast Feeding|Lactation|Milk, Human|Calcium Channel Blockers|Histamine H1 Antagonists|Vasodilator Agents"
Ivosidenib,Breast Feeding|Lactation|Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors|Signal Transduction Inhibitors|Isocitrate Dehydrogenase Inhibitors
Hydroxyzine,Breast Feeding|Lactation|Antihistamines
Moxidectin,Breast Feeding|Lactation|Anti-Infective Agents|Antiparasitic Agents|Anthelmintics|Antinematodal Agents|Insecticides|Macrolides
Mogamulizumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal"
Lanadelumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal, Humanized"
Eravacycline,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Tetracyclines
Epoetin Beta,Breast Feeding|Lactation|Colony-Stimulating Factors|Hematinics|Hematopoietic Cell Growth Factors
Pemetrexed,"Breast Feeding|Lactation|Antineoplastic Agents|Antimetabolites, Antineoplastic|Antirheumatic Agents|Folic Acid Antagonists|Immunosuppressive Agents"
Doravirine,"Breast Feeding|Lactation|Milk, Human|Anti-HIV Agents|Antiviral Agents|Anti-Retroviral Agents|Reverse Transcriptase Inhibitors"
Segesterone,"Breast Feeding|Lactation|Contraceptive Agents, Female"
Ibuprofen,Breast Feeding|Lactation|Analgesic Agents|Nonsteroidal Antiinflammatory Agents
Topotecan,Breast Feeding|Lactation|Antineoplastic Agents|Topoisomerase I Inhibitors
Chocolate,"Breast Feeding|Lactation|Milk, Human|Cocoa Plant|Cocoa Powder|Theobroma cacao"
Ciguatera Poisoning,Breast Feeding|Lactation|Foodborne Diseases|Poisoning
Botulinum Poisoning,Breast Feeding|Lactation|Foodborne Diseases|Poisoning
Chelonitoxin Poisoning,Breast Feeding|Lactation|Foodborne|Diseases Poisoning
Fremanezumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal"
Moxetumomab Pasudotox,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal|Antineoplastic Agents"
Amanita Mushroom Poisoning,Breast Feeding|Lactation|Foodborne Diseases|Poisoning
Imipenem and Cilastatin,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Carbapenems
Duvelisib,Lactation|Breast Feeding|Antineoplastic Agents|Enzyme Inhibitors|Kinase Inhibitors|Phosphatidylinositol 3-kinases
Galcanezumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal"
Cemiplimab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal|Antineoplastic Agents"
Ivacaftor,"Breast Feeding|Lactation|Milk, Human|Chloride Channel Agonists|Cystic Fibrosis Transmembrane Conductance Regulator Protein Modulator|CFTR Protein Modulator"
"Elexacaftor, Tezacaftor and Ivacaftor","Breast Feeding|Lactation|Milk, Human|Chloride Channel Agonists|Cystic Fibrosis Transmembrane Conductance Regulator Protein Modulator|CFTR Protein Modulator"
Tezacaftor and Ivacaftor,"Breast Feeding|Lactation|Milk, Human|Chloride Channel Agonists|Cystic Fibrosis Transmembrane Conductance Regulator Protein Modulator|CFTR Protein Modulator"
Vitamin B,"Breast Feeding|Lactation|Milk, Human|Vitamin B Complex|Vitamins"
Sarecycline,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Tetracyclines
Omadacycline,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Tetracyclines
Indapamide,Breast Feeding|Lactation|Antihypertensive Agents|Thiazide Diuretics
Cannabidiol,"Breast feeding|Lactation|Milk, Human|Anticonvulsants|Cannabinoids"
Agalsidase Alfa,Breast Feeding|Lactation|Enzymes|Enzyme Replacement Therapy|alpha-Galactosidase
Indomethacin,Breast Feeding|Lactation|Analgesic Agents|Nonsteroidal Antiinflammatory Agents
Baloxavir,"Breast Feeding|Lactation|Milk, Human|Antiviral Agents|Enzyme Inhibitors"
Iomeprol,"Breast Feeding|Lactation|Milk, Human|Contrast Media|Diagnostic Agents"
Sodium Zirconium Cyclosilicate,"Breast Feeding|Lactation|Milk, Human|Cation Exchange Resins|Chelating Agents"
Emapalumab,"Breastfeeding|Lactation|Milk, Human|Monoclonal Antibodies"
Prucalopride,Breastfeeding|Lactation|Gastrointestinal Agents|Laxatives|Serotonin 5-HT4 Receptor Agonists
Polyethylene Glycol,"Breastfeeding|Lactation|Milk, Human|Gastrointestinal Agents|Laxatives"
Ravulizumab,"Breast Feeding|Lactation|Milk, Human|Antibodies, Monoclonal"
Influenza Vaccines,"Breast Feeding|Lactation|Milk, Human|Vaccines"
Apremilast,Breastfeeding|Lactation|Analgesics|Antirheumatic Agents|Enzyme Inhibitors|Phosphodiesterase Inhibitors
Rasagiline,Breast Feeding|Lactation|Antiparkinson Agents|Monoamine Oxidase Inhibitors|Neuroprotective Agents
Tapentadol,"Breastfeeding|Lactation|Analgesic, Opioid|Narcotics"
Apomorphine,"Breastfeeding|Lactation|Milk, Human|Antiparkinson Agents|Dopamine Agents|Dopamine Agonists|Emetics|Gastrointestinal Agents"
Caplacizumab,"Breast feeding|Lactation|Milk, Human|Antibodies, Monoclonal|Single-Domain Antibodies"
Insulin,"Breast Feeding|Lactation|Milk, Human|Hypoglycemic Agents"
Esketamine,"Breast Feeding|Lactation|Milk, Human|Antidepressive Agents|Antidepressants"
Brexanolone,"Breastfeeding|Lactation|Milk, Human|Antidepressants|Antidepressive Agents|GABA Agents|Hormones|Progesterone Congeners"
Solriamfetol,"Breastfeeding|Lactation|Milk, Human|Adrenergic Agents|Carbamates|Central Nervous System Stimulants|Dopamine Agents|Wakefulness-Promoting Agents"
Bedaquiline,"Breast Feeding|Lactation|Milk, Human|Anti-infective Agents|Antitubercular Agents"
Lanreotide,"Breastfeeding|Lactation|Milk, Human|Hormones|Somatostatin Analogs and Derivatives|Antineoplastic Agents, Hormonal"
Pasireotide,"Breastfeeding|Lactation|Milk, Human|Hormones|Somatostatin Analogs and Derivatives"
Tigecycline,Breastfeeding|Lactation|Anti-infective Agents|Antibacterial Agents|Tetracyclines
Risankizumab,"Breastfeeding|Lactation|Milk, Human|Antibodies, Monoclonal|Anti-Inflammatory Agents|Dermatologic Agents"
Interferon Alfa,Breast Feeding|Lactation|Anti-Infective Agents|Antiviral Agents|Antineoplastic Agents
Siponimod,Breast Feeding|Lactation|Immunosuppressive Agents|Sphingosine 1 Phosphate Receptor Modulators
IncobotulinumtoxinA,Breastfeeding|Lactation|Bacterial Toxins|Neuromuscular Agents|Neurotoxins
Isoetharine,Breast Feeding|Lactation|Anti-Asthmatic Agents|Bronchodilator Agents|Beta Adrenergic Agonists
"Dengue Tetravalent Vaccine, Live",Breastfeeding|Lactation|Vaccines
Bremelanotide,"Breastfeeding|Lactation|Peptides, Cyclic"
Vitamin C,Breast Feeding|Lactation|Vitamins
Selinexor,"Breastfeeding|Lactation,|Antineoplastic Agents"
Japanese Encephalitis Vaccine,Breast Feeding|Lactation|Vaccines
Ketorolac,"Breast Feeding|Lactation|Milk, Human|Analgesic Agents|Nonsteroidal Antiinflammatory Agents"
Lepirudin,Breast Feeding|Lactation|Anticoagulants|Antithrombins
Levalbuterol,Breast Feeding|Lactation|Anti-Asthmatic Agents|Bronchodilator Agents|Beta Adrenergic Agonists
Levocabastine,Breast Feeding|Lactation|Antihistamines
Levofloxacin,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Quinolones|Fluoroquinolones
Levothyroxine,"Breast Feeding|Lactation|Milk, Human|Thyroid Hormones"
Liothyronine,Breast Feeding|Lactation|Thyroid Hormones
Anthrax Vaccine,Breast Feeding|Lactation|Vaccines
Lomefloxacin,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Quinolones|Fluoroquinolones
Loxapine,Breast Feeding|Lactation|Antipsychotic Agents
Meloxicam,Breast Feeding|Lactation|Analgesic Agents|Nonsteroidal Antiinflammatory Agents
Meningococcal Vaccines,Breast Feeding|Lactation|Vaccines
Mercaptopurine,Breast Feeding|Lactation|Antineoplastic Agents|Antimetabolites|Immunosuppressive Agents
Aripiprazole,"Breast Feeding|Lactation|Milk, Human|Antipsychotic Agents"
Meropenem,Breast Feeding|Lactation|Anti-Infective Agents|Carbapenems
Mesoridazine,Breast Feeding|Lactation|Antipsychotic Agents|Phenothiazines
Metaproterenol,"Breast Feeding|Lactation|Milk, Human|Anti-Asthmatic Agents|Bronchodilator Agents|Beta Adrenergic Agonists"
Metformin,Breast Feeding|Lactation|Hypoglycemic Agents|Biguanides
Methenamine Mandelate,"Breast Feeding|Lactation|Anti-Infective Agents, Urinary|Antibacterial Agents"
Methenamine,"Breast Feeding|Lactation|Anti-Infective Agents, Urinary|Antibacterial Agents"
Methicillin,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Penicillins
Methimazole,Breast Feeding|Lactation|Antithyroid Agents|Thionamides
Methyclothiazide,Breast Feeding|Lactation|Antihypertensive Agents|Thiazide Diuretics
Methyldopa,Breast Feeding|Lactation|Antihypertensive Agents|Adrenergic alpha-2 Receptor Agonists
Methylprednisolone,"Breast Feeding|Lactation|Corticosteroids, Systemic|Glucocorticoids|Anti-Inflammatory Agents"
Metolazone,Breast Feeding|Lactation|Antihypertensive Agents|Thiazide Diuretics
Mexiletine,"Breast Feeding|Lactation|Milk, Human|Antiarrhythmics"
Minocycline,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Tetracyclines
Minoxidil,Breast Feeding|Lactation|Antihypertensive Agents|Vasodilator Agents
Mitoxantrone,Breast Feeding|Lactation|Antineoplastic Agents
Measles-Mumps-Rubella Vaccine,Breast Feeding|Lactation|Vaccines
Molindone,Breast Feeding|Lactation|Antipsychotic Agents
"Mometasone, Topical","Breast Feeding|Lactation|Corticosteroids, Topical|Glucocorticoids|Anti-Inflammatory Agents"
Azatadine,Breast Feeding|Lactation|Antihistamines
"Mometasone, Nasal","Breast Feeding|Lactation|Anti-allergic Agents|Anti-Asthmatic Agents|Corticosteroids, Inhaled|Glucocorticoids|Anti-Inflammatory Agents"
Moxifloxacin,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Quinolones|Fluoroquinolones
Nalidixic Acid,"Breast Feeding|Lactation|Anti-Infective Agents, Urinary|Antibacterial Agents|Quinolones"
Nifedipine,Breast Feeding|Lactation|Antihypertensive Agents|Calcium Channel Blockers|Vasodilator Agents
Nimodipine,Breast Feeding|Lactation|Antihypertensive Agents|Calcium Channel Blockers|Vasodilator Agents
Azathioprine,"Breast Feeding|Lactation|Milk, Human|Immunosuppressive Agents"
Nitrendipine,Breast Feeding|Lactation|Antihypertensive Agents|Calcium Channel Blockers|Vasodilator Agents
Nitrofurantoin,"Breast Feeding|Lactation|Anti-Infective Agents, Urinary|Antibacterial Agents|Nitrofurans"
Norfloxacin,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Quinolones|Fluoroquinolones
Ofloxacin,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Quinolones|Fluoroquinolones
Olanzapine,"Breast Feeding|Lactation|Milk, Human|Antipsychotic Agents"
Oxytetracycline,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Tetracyclines
Penicillamine,Breast Feeding|Lactation|Antirheumatic Agents
Penicillin G,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Penicillins
Azelastine,Breast Feeding|Lactation|Antihistamines
Penicillin V,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Penicillins
Perindopril,Breast Feeding|Lactation|Antihypertensive Agents|Angiotensin-Converting Enzyme Inhibitors|ACE Inhibitors|ACEIs
Perphenazine,"Breast Feeding|Lactation|Milk, Human|Antipsychotic Agents|Phenothiazines"
Phenindamine,Breast Feeding|Lactation|Antihistamines
Pimozide,"Breast Feeding|Lactation|Milk, Human|Antipsychotic Agents"
Piperacillin and Tazobactam,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Penicillins
Piperacillin,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Penicillins
Pirbuterol,"Breast Feeding|Lactation|Milk, Human|Anti-Asthmatic Agents|Bronchodilator Agents|Beta Adrenergic Agonists"
Piroxicam,Breast Feeding|Lactation|Analgesic Agents|Nonsteroidal Antiinflammatory Agents
Aztreonam,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Monobactams
Pneumococcal Vaccines,"Breast Feeding|Lactation|Milk, Human|Vaccines"
Poliovirus Vaccines,Breast Feeding|Lactation|Vaccines
Prednisolone,"Breast Feeding|Lactation|Milk, Human|Corticosteroids, Systemic|Corticosteroids, Ophthalmic|Glucocorticoids|Anti-Inflammatory Agents"
Prednisone,"Breast Feeding|Lactation|Milk, Human|Corticosteroids, Systemic|Glucocorticoids|Anti-Inflammatory Agents"
Procaine Penicillin G,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Penicillins
Promethazine,Breast Feeding|Lactation|Antiemetics|Phenothiazines
Propylthiouracil,Breast Feeding|Lactation|Antithyroid Agents|Thionamides
Pseudoephedrine,Breast Feeding|Lactation|Adrenergic Agents|Adrenergic Alpha-Agonists|Central Nervous System Stimulants|Sympathomimetics|Vasoconstrictor Agents
Pyrilamine,Breast Feeding|Lactation|Antihistamines
Quetiapine,"Breast Feeding|Lactation|Milk, Human|Antipsychotic Agents"
Rabies Vaccine,Breast Feeding|Lactation|Vaccines
BCG Vaccine,"Breast Feeding|Lactation|Milk, Human|Vaccines"
Risperidone,"Breast Feeding|Lactation|Milk, Human|Antipsychotic Agents"
Rubella Vaccine,Breast Feeding|Lactation|Vaccines
Salmeterol,Breast Feeding|Lactation|Anti-Asthmatic Agents|Bronchodilator Agents|Beta Adrenergic Agonists
Smallpox Vaccine,"Breast Feeding|Lactation|Milk, Human|Vaccines"
Sparfloxacin,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Quinolones|Fluoroquinolones
Spironolactone,"Breast Feeding|Lactation|Milk, Human|Antihypertensive Agents|Diuretics|Mineralocorticoid Receptor Antagonists"
Streptomycin,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Aminoglycosides|Antitubercular Agents
Tacrolimus,"Breast Feeding|Lactation|Milk, Human|Immunosuppressive Agents|Dermatologic Agents"
Beclomethasone,"Breast Feeding|Lactation|Anti-Allergic Agents|Anti-Asthmatic Agents|Corticosteroids, Inhaled|Glucocorticoids|Anti-Inflammatory Agents"
Tamoxifen,Breast Feeding|Lactation|Antineoplastic Agents|Estrogen Antagonists
Terbutaline,Breast Feeding|Lactation|Bronchodilator Agents|Beta Adrenergic Agonists
Tetracycline,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Tetracyclines
Theophylline,"Breast Feeding|Lactation|Milk, Human|Anti-Asthmatic Agents|Bronchodilator Agents"
Thiethylperazine,Breast Feeding|Lactation|Antiemetics|Phenothiazines|Gastrointestinal Agents
Thioridazine,"Breast Feeding|Lactation|Milk, Human|Antipsychotic Agents|Phenothiazines"
Thiothixene,"Breast Feeding|Lactation|Milk, Human|Antipsychotic Agents|Thioxanthines"
Tobramycin,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Aminoglycosides
Benazepril,Breast Feeding|Lactation|Antihypertensive Agents|Angiotensin-Converting Enzyme Inhibitors|ACE Inhibitors|ACEIs
Torsemide,Breast Feeding|Lactation|Antihypertensive Agents|Loop Diuretics
"Triamcinolone, Topical","Breast Feeding|Lactation|Corticosteroids, Topical|Glucocorticoids|Anti-Inflammatory Agents"
Triamcinolone,"Breast Feeding|Lactation|Milk, Human|Corticosteroids, Systemic|Glucocorticoids|Anti-Inflammatory Agents"
Trichlormethiazide,Breast Feeding|Lactation|Antihypertensive Agents|Thiazide Diuretics
Trifluoperazine,"Breast Feeding|Lactation|Milk, Human|Antipsychotic Agents|Phenothiazines"
Bendroflumethiazide,Breast Feeding|Lactation|Antihypertensive Agents|Thiazide Diuretics
Tripelennamine,Breast Feeding|Lactation|Antihistamines
Triprolidine,Breast Feeding|Lactation|Antihistamines
Trovafloxacin,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Quinolones|Fluoroquinolones
Typhoid Vaccine,Breast Feeding|Lactation|Vaccines
Valdecoxib,Breast Feeding|Lactation|Analgesic Agents|Nonsteroidal Antiinflammatory Agents
Varicella Vaccine,Breast Feeding|Lactation|Vaccines
Vincristine,"Breast Feeding|Lactation|Milk, Human|Antineoplastic Agents|Antimitotic Agents"
Warfarin,Breast Feeding|Lactation|Anticoagulants
Benzathine Penicillin G,Breast Feeding|Lactation|Anti-Infective Agents|Antibacterial Agents|Penicillins
